"MO100E","MO100S","MO87E","MO87S","MO98E","MO98S","MO99E","MO99S"
0,4,0,14,0,5,0,0
0,0,0,14,22,4,0,0
0,0,0,0,0,0,36,0
0,0,0,0,0,0,29,0
13,0,0,0,0,0,19,0
1,0,0,0,0,0,30,0
0,26,0,0,0,0,0,0
0,33,0,0,0,0,0,0
0,0,28,3,0,0,0,0
0,0,23,0,0,0,0,0
0,0,0,0,0,0,38,0
19,0,0,0,40,0,0,0
5,0,0,0,0,15,0,0
0,25,0,0,0,0,0,0
0,26,0,0,0,0,0,0
0,25,0,0,0,0,0,0
0,0,26,0,0,0,0,0
0,0,27,0,0,0,0,0
0,0,0,0,0,0,34,0
26,0,0,0,0,0,0,0
0,0,0,29,0,0,0,0
0,0,0,0,0,21,0,0
0,0,0,0,0,28,0,0
0,0,0,0,0,0,25,0
7,0,0,0,21,1,13,0
0,0,0,31,0,0,0,0
0,0,0,0,64,2,0,0
0,0,0,0,0,25,0,0
0,0,0,0,0,0,28,0
0,18,0,0,15,0,0,0
0,26,0,0,0,0,0,0
0,0,0,0,0,21,0,0
0,0,0,0,0,0,25,0
0,0,0,0,0,0,0,20
0,0,0,0,0,0,0,17
2,0,0,0,0,0,21,0
15,0,0,0,0,0,13,0
0,24,0,0,0,0,0,0
0,22,0,0,0,0,0,0
0,0,27,0,0,0,0,0
0,0,0,0,0,22,0,0
0,20,0,0,0,4,0,0
0,31,0,0,0,0,0,0
0,5,0,0,0,0,18,0
0,16,11,0,0,0,0,0
0,0,16,0,0,0,0,0
0,0,26,0,0,0,0,0
0,0,15,9,0,0,0,0
0,0,0,0,0,15,0,0
0,0,0,0,0,0,19,0
0,0,0,0,0,0,26,0
14,0,0,0,0,0,0,5
0,24,0,0,0,0,0,0
0,0,23,0,0,0,0,0
0,0,0,0,0,25,0,0
0,0,0,0,0,8,0,11
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
0,7,0,0,0,14,0,0
0,7,0,0,0,0,19,0
0,0,23,0,0,0,0,0
0,0,0,22,0,0,0,0
0,0,0,4,0,0,25,0
0,0,0,0,0,22,0,0
0,0,0,0,0,0,25,0
0,7,18,0,0,0,0,0
0,0,31,0,0,0,0,0
0,0,21,0,0,0,0,0
0,0,0,24,0,0,0,0
0,0,0,0,0,17,0,1
0,0,0,0,0,24,0,0
0,0,0,0,0,0,31,0
18,12,0,0,0,0,0,0
22,0,0,0,0,0,0,0
0,0,0,0,70,0,0,0
0,0,0,0,29,0,16,0
0,0,0,0,0,27,0,0
0,0,0,0,0,0,28,0
0,0,0,0,0,0,0,22
17,0,0,0,28,0,0,0
0,27,0,0,0,0,0,0
0,4,0,0,0,26,0,0
0,0,21,0,0,0,0,0
0,0,0,0,0,26,0,0
0,0,0,0,0,0,33,0
0,0,0,0,0,0,26,0
7,15,0,0,0,0,0,0
15,17,0,0,0,0,0,0
4,0,12,0,25,0,0,0
0,15,0,0,0,1,0,0
0,5,0,2,0,9,0,0
0,0,22,0,0,0,0,0
0,0,23,0,0,0,0,0
0,0,0,9,0,0,17,0
0,0,0,0,0,19,0,0
0,0,0,0,0,0,30,0
5,0,0,0,11,0,13,0
0,1,25,0,0,0,0,0
0,0,0,27,0,0,0,0
0,0,0,10,0,17,0,0
0,0,0,0,0,0,0,21
24,0,0,0,0,0,0,0
4,0,0,23,0,2,0,0
0,0,26,0,0,0,0,0
0,26,0,2,0,0,0,0
