"MO100E","MO100S","MO87E","MO87S","MO98E","MO98S","MO99E","MO99S"
0,0,0,0,0,0,96,0
0,0,0,0,0,0,0,96
6,50,0,0,0,39,0,0
0,9,0,0,0,0,86,0
0,0,95,0,0,0,0,0
23,18,0,9,36,8,0,0
0,0,0,0,0,0,94,0
0,0,0,0,0,0,0,94
25,0,0,0,0,0,68,0
0,93,0,0,0,0,0,0
0,0,0,16,0,0,77,0
0,0,0,93,0,0,0,0
0,0,0,0,0,93,0,0
0,0,0,0,0,93,0,0
92,0,0,0,0,0,0,0
0,0,0,0,0,0,92,0
0,0,0,0,0,0,92,0
0,0,0,0,0,0,92,0
0,0,0,91,0,0,0,0
0,0,0,0,91,0,0,0
0,0,0,0,0,91,0,0
0,0,0,0,0,58,0,33
0,0,0,0,0,5,0,86
90,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0
0,0,90,0,0,0,0,0
0,0,0,90,0,0,0,0
83,6,0,0,0,0,0,0
8,0,81,0,0,0,0,0
0,89,0,0,0,0,0,0
0,89,0,0,0,0,0,0
0,6,0,25,0,19,0,39
0,0,89,0,0,0,0,0
0,0,89,0,0,0,0,0
0,0,0,89,0,0,0,0
0,0,0,64,0,25,0,0
0,0,0,0,0,89,0,0
46,0,0,42,0,0,0,0
23,0,65,0,0,0,0,0
30,0,58,0,0,0,0,0
0,0,88,0,0,0,0,0
0,0,0,0,76,7,0,5
0,0,0,0,0,88,0,0
0,0,87,0,0,0,0,0
0,0,0,0,0,87,0,0
0,0,0,0,0,87,0,0
37,0,0,23,0,26,0,0
0,86,0,0,0,0,0,0
0,86,0,0,0,0,0,0
0,0,86,0,0,0,0,0
0,0,86,0,0,0,0,0
0,0,0,86,0,0,0,0
0,0,0,0,0,86,0,0
80,5,0,0,0,0,0,0
12,0,0,71,0,2,0,0
0,85,0,0,0,0,0,0
0,47,0,0,0,0,38,0
0,0,0,78,0,0,0,7
0,0,0,0,0,0,85,0
0,0,0,35,0,0,49,0
0,0,0,0,0,0,0,84
